undernourish%,undernourish(in m),m/s_finsec%,s_finsec(in m),m/s_finsec(in m),pcap_fprod,pcap_fsup,Mag,CPI,DisType,normalized
21.5,7.4,45.1,5.1,15.5,8.2,38.0,136547.07727822952,87.46993221,Flood,0.05591737538592137
22.2,7.8,49.6,5.3,17.6,6.2,33.0,136547.1031953633,88.57345288,Flood,0.05591738600818944
22.2,7.8,49.6,5.3,17.6,6.2,33.0,136547.1031953633,88.57345288,Flood,0.05591738600818944
22.2,7.8,49.6,5.3,17.6,6.2,33.0,136547.1031953633,88.57345288,Flood,0.05591738600818944
22.2,7.8,49.6,5.3,17.6,6.2,33.0,136547.1031953633,88.57345288,Flood,0.05591738600818944
23.0,8.3,54.3,6.3,19.7,6.9,20.0,136547.13410942387,90.46017931,Flood,0.055917398678473174
24.0,8.9,57.5,6.4,21.4,6.8,27.0,136547.14590799678,92.6696698,Flood,0.05591740351417782
24.0,8.9,57.5,6.4,21.4,6.8,27.0,184397.0,92.6696698,Flood,0.07552890769121685
24.0,8.9,57.5,6.4,21.4,6.8,27.0,136547.14590799678,92.6696698,Flood,0.05591740351417782
26.9,10.2,63.1,7.5,24.0,5.7,29.0,136547.17425608684,94.3490925,Flood,0.05591741513278559
26.9,10.2,63.1,7.5,24.0,5.7,29.0,136547.17425608684,94.3490925,Flood,0.05591741513278559
26.9,10.2,63.1,7.5,24.0,5.7,29.0,441236.0,94.3490925,Flood,0.18079566799609983
26.9,10.2,63.1,7.5,24.0,5.7,29.0,133360.0,94.3490925,Flood,0.05461113567964418
26.9,10.2,63.1,7.5,24.0,5.7,29.0,136547.17425608684,94.3490925,Flood,0.05591741513278559
26.9,10.2,63.1,7.5,24.0,5.7,29.0,136547.17425608684,94.3490925,Flood,0.05591741513278559
29.8,11.6,70.0,8.8,27.3,7.8,30.0,136547.20802371067,95.51296742,Flood,0.05591742897261663
29.8,11.6,70.0,8.8,27.3,7.8,30.0,136547.20802371067,95.51296742,Flood,0.05591742897261663
29.8,11.6,70.0,8.8,27.3,7.8,30.0,136547.20802371067,95.51296742,Flood,0.05591742897261663
29.8,11.6,70.0,8.8,27.3,7.8,30.0,136547.20802371067,95.51296742,Flood,0.05591742897261663
29.8,11.6,70.0,8.8,27.3,7.8,30.0,136547.20802371067,95.51296742,Flood,0.05591742897261663
4.9,0.1,38.8,0.3,1.1,15.8,13.0,136546.9993228446,87.46993221,Flood,0.05591734343551345
4.9,0.1,38.8,0.3,1.1,15.8,13.0,136546.9993228446,87.46993221,Flood,0.05591734343551345
4.9,0.1,38.8,0.3,1.1,15.8,13.0,11410.0,87.46993221,Flood,0.004629312750959368
4.7,0.1,39.0,0.3,1.1,10.6,32.0,16543.0,88.57345288,Flood,0.006733098704981009
4.7,0.1,38.6,0.3,1.1,9.2,43.0,10463.0,90.46017931,Flood,0.004241180021861668
4.6,0.1,37.1,0.3,1.1,9.2,42.0,10317.0,92.6696698,Flood,0.0041813411850630785
2.8,1.1,22.9,5.2,9.1,10.3,42.0,136546.97202457147,87.46993221,Flood,0.055917332247178445
2.8,1.1,22.9,5.2,9.1,10.3,42.0,136546.97202457147,87.46993221,Flood,0.055917332247178445
14.385261280843883,14.43739063403269,17.6,3.9,7.4,10.3,27.0,132889.0,92.6696698,Flood,0.054418093952711744
14.5,4.1,66.5,5.9,18.5,22.2,142.0,102553.0,87.46993221,Flood,0.04198473126009524
14.5,4.1,66.5,5.9,18.5,22.2,142.0,136547.068744473,87.46993221,Flood,0.0559173718883182
14.5,4.1,66.5,5.9,18.5,22.2,142.0,12133.0,87.46993221,Flood,0.004925637949626356
15.4,4.4,46.98978158145942,4.181640435364963,12.831011759189565,23.6,50.0,136547.04975029995,88.57345288,Flood,0.05591736410346051
15.4,4.4,46.98978158145942,4.181640435364963,12.831011759189565,23.6,50.0,136547.04975029995,88.57345288,Flood,0.05591736410346051
15.4,4.4,46.19401306533746,3.9336180984199585,11.788116156197496,23.6,50.0,59746.0,88.57345288,Flood,0.02444006628175813
15.4,4.4,48.324930156435435,4.585372703995136,14.581639097003329,23.6,50.0,277015.0,88.57345288,Flood,0.1134888623940371
15.4,4.6,48.31629477697934,4.074011447518652,12.442066058058877,23.6,67.0,24003.0,90.46017931,Flood,0.00979061735236099
15.7,4.8,70.1,7.4,21.6,20.0,75.0,462991.0,92.6696698,Flood,0.18971206453413622
17.9,5.7,73.5,8.6,23.4,16.6,79.0,136547.15628610566,94.3490925,Flood,0.05591740776769812
17.9,5.7,73.5,8.6,23.4,16.6,79.0,136547.15628610566,94.3490925,Flood,0.05591740776769812
17.9,5.7,73.5,8.6,23.4,16.6,79.0,136547.15628610566,94.3490925,Flood,0.05591740776769812
20.8,6.8,77.7,10.0,25.5,3.1,64.0,77632.0,95.51296742,Flood,0.031770733644631906
20.8,6.8,77.7,10.0,25.5,3.1,64.0,136547.19738009945,95.51296742,Flood,0.055917424610278856
2.005926592226711,-0.6826878236071572,19.2,2.5,8.3,85.2,22.0,136546.92333249073,87.46993221,Flood,0.055917312290483426
2.0167468128248114,-0.6699930077783876,19.2,2.5,8.3,85.2,22.0,133853.0,87.46993221,Flood,0.054813194217601065
2.005926592226711,-0.6826878236071572,19.2,2.5,8.3,85.2,22.0,136546.92333249073,87.46993221,Flood,0.055917312290483426
2.6,1.1,25.9,3.8,11.3,49.1,17.0,136546.98081028354,88.57345288,Flood,0.055917335848046874
2.6,1.1,25.9,3.8,11.3,49.1,17.0,136546.98081028354,88.57345288,Flood,0.055917335848046874
3.1,1.4,32.3,4.9,14.2,67.2,34.0,136546.98955524934,90.46017931,Flood,0.05591733943221524
3.1,1.4,32.3,4.9,14.2,67.2,34.0,136546.98955524934,90.46017931,Flood,0.05591733943221524
3.1,1.4,32.3,4.9,14.2,67.2,34.0,27377.0,90.46017931,Flood,0.0111734682794736
3.4,1.5,35.8,5.7,15.9,63.6,33.0,136547.00949468123,92.6696698,Flood,0.055917347604492025
3.4,1.5,35.8,5.7,15.9,63.6,33.0,234623.0,92.6696698,Flood,0.09611428726002474
3.4,1.5,35.8,5.7,15.9,63.6,33.0,136547.00949468123,92.6696698,Flood,0.055917347604492025
3.5,1.6,35.8,5.7,16.0,43.0,32.0,136547.0226058281,94.3490925,Flood,0.055917352978161736
3.5,1.6,35.8,5.7,16.0,43.0,32.0,136547.0226058281,94.3490925,Flood,0.055917352978161736
3.5,1.6,35.8,5.7,16.0,43.0,32.0,136547.0226058281,94.3490925,Flood,0.055917352978161736
3.7,1.7,37.0,5.9,16.7,78.8,32.0,136547.00781066078,95.51296742,Flood,0.05591734691428775
-1.5793770068967339,0.06629770554349257,10.8,0.7,2.6,56.8,50.0,136546.87309628178,87.46993221,Flood,0.055917291700919663
-1.6639716038687196,-1.896990183706741,11.8,0.8,2.9,71.2,35.0,634200.0,88.57345288,Flood,0.25988293720159994
7.3697166056969845,8.459939349820818,13.3,1.0,3.3,30.3,37.0,105583.0,92.6696698,Flood,0.043226592051189255
2.726337771043193,2.158285055559542,12.3,0.8,3.1,62.9,27.0,136546.8936590597,94.3490925,Flood,0.05591730012867796
4.016475280983256,2.8505389612012593,11.9,0.9,3.0,67.8,17.0,136546.89686226015,95.51296742,Flood,0.05591730144152584
8.043347992724334,12.583187427125972,5.2,0.1,0.5,26.8,31.0,136546.8910537702,88.57345288,Flood,0.055917299060886924
14.0,21.8,32.2,20.7,50.4,3.1,27.0,136547.2002044625,87.46993221,Flood,0.05591742576785831
14.0,21.8,32.2,20.7,50.4,3.1,27.0,136547.2002044625,87.46993221,Flood,0.05591742576785831
13.3,21.0,31.9,19.6,50.3,3.5,19.0,45667.0,88.57345288,Flood,0.018669717081159908
12.5,20.0,31.5,18.5,50.2,2.3,31.0,136547.19107247752,90.46017931,Flood,0.05591742202506818
12.5,20.0,31.5,18.5,50.2,2.3,31.0,136547.19107247752,90.46017931,Flood,0.05591742202506818
